inicio,fin,local,local_fecha,global,global_fecha,duracion_evento,duracion_local,duracion_global
2021-06-06 00:20:00,2021-06-06 05:40:00,1.60807472637885,2021-06-06 00:40:00,1.60807472637885,2021-06-06 00:40:00,320.0,20.0,20.0
2021-06-09 12:10:00,2021-06-09 14:20:00,,,0.870577936549917,2021-06-09 12:20:00,130.0,,10.0
2021-06-10 00:40:00,2021-06-10 03:50:00,1.03888232023415,2021-06-10 01:20:00,1.03888232023415,2021-06-10 01:20:00,190.0,40.0,40.0
2021-06-19 02:30:00,2021-06-19 07:30:00,,,0.505279411815764,2021-06-19 02:40:00,300.0,,10.0
2021-07-15 02:50:00,2021-07-15 12:30:00,1.22986633396237,2021-07-15 03:30:00,1.25466138228759,2021-07-15 05:10:00,580.0,40.0,140.0
2021-07-27 01:10:00,2021-07-27 02:50:00,,,0.440619978594044,2021-07-27 01:20:00,100.0,,10.0
2021-08-25 01:40:00,2021-08-25 03:10:00,,,0.522812995261997,2021-08-25 01:50:00,90.0,,10.0
2021-09-08 10:00:00,2021-09-08 13:10:00,,,0.694438500488014,2021-09-08 10:20:00,190.0,,20.0
2021-09-13 22:10:00,2021-09-14 04:10:00,0.838218520589759,2021-09-13 23:10:00,0.838218520589759,2021-09-13 23:10:00,360.0,60.0,60.0
2021-09-14 06:20:00,2021-09-14 08:30:00,,,0.404827578508201,2021-09-14 07:30:00,130.0,,70.0
2021-10-01 02:50:00,2021-10-01 05:40:00,,,0.542385983131139,2021-10-01 04:20:00,170.0,,90.0
2021-10-01 23:40:00,2021-10-02 01:30:00,,,0.620043555656963,2021-10-01 23:50:00,110.0,,10.0
2021-10-02 11:30:00,2021-10-02 13:00:00,,,0.423437622234072,2021-10-02 11:50:00,90.0,,20.0
2021-10-03 09:00:00,2021-10-03 11:00:00,,,0.618087033520341,2021-10-03 09:10:00,120.0,,10.0
2021-10-04 06:00:00,2021-10-04 07:00:00,,,0.410229213744893,2021-10-04 06:10:00,60.0,,10.0
2021-10-06 14:20:00,2021-10-06 15:30:00,,,0.459994241290667,2021-10-06 14:30:00,70.0,,10.0
2021-10-09 07:10:00,2021-10-09 11:50:00,,,0.8454955720238,2021-10-09 08:30:00,280.0,,80.0
2021-10-13 20:10:00,2021-10-13 23:20:00,2.25942846355992,2021-10-13 20:40:00,2.25942846355992,2021-10-13 20:40:00,190.0,30.0,30.0
2021-10-15 04:10:00,2021-10-15 14:20:00,1.14138396650368,2021-10-15 04:50:00,1.14138396650368,2021-10-15 04:50:00,610.0,40.0,40.0
2021-10-23 14:50:00,2021-10-23 16:50:00,1.10764928807576,2021-10-23 15:00:00,1.10764928807576,2021-10-23 15:00:00,120.0,10.0,10.0
2021-11-05 21:30:00,2021-11-05 23:20:00,,,0.921242631531587,2021-11-05 21:40:00,110.0,,10.0
2021-11-10 11:10:00,2021-11-10 12:30:00,,,0.362500834190234,2021-11-10 12:00:00,80.0,,50.0
2021-11-14 13:40:00,2021-11-14 17:30:00,1.14166938572511,2021-11-14 14:00:00,1.14166938572511,2021-11-14 14:00:00,230.0,20.0,20.0
2021-11-16 17:00:00,2021-11-16 20:10:00,,,0.838593821667171,2021-11-16 17:10:00,190.0,,10.0
2021-11-17 00:20:00,2021-11-17 02:10:00,,,0.832581871475874,2021-11-17 00:30:00,110.0,,10.0
2021-11-17 15:10:00,2021-11-17 18:20:00,,,0.455235094411948,2021-11-17 16:20:00,190.0,,70.0
2021-11-18 06:20:00,2021-11-18 10:20:00,,,0.632123836143446,2021-11-18 06:30:00,240.0,,10.0
2021-11-25 13:50:00,2021-11-25 19:40:00,1.15391588969367,2021-11-25 14:30:00,1.74706324564426,2021-11-25 15:20:00,350.0,40.0,90.0
2021-11-28 10:40:00,2021-11-28 13:30:00,1.4384842691112,2021-11-28 11:10:00,1.4384842691112,2021-11-28 11:10:00,170.0,30.0,30.0
2021-12-12 16:30:00,2021-12-12 18:20:00,,,1.03111498852642,2021-12-12 16:40:00,110.0,,10.0
2021-12-13 07:30:00,2021-12-13 14:40:00,0.923316914383065,2021-12-13 11:00:00,0.947028785621707,2021-12-13 11:20:00,430.0,210.0,230.0
2021-12-30 16:00:00,2021-12-30 18:30:00,1.57054877338045,2021-12-30 16:30:00,1.57054877338045,2021-12-30 16:30:00,150.0,30.0,30.0
2022-01-03 03:30:00,2022-01-03 04:20:00,,,,,50.0,,
2022-01-03 05:30:00,2022-01-03 07:20:00,,,1.02300754124737,2022-01-03 05:40:00,110.0,,10.0
2022-01-03 09:50:00,2022-01-03 14:00:00,,,0.668959795381788,2022-01-03 11:50:00,250.0,,120.0
2022-01-09 15:40:00,2022-01-09 16:30:00,,,0.389655556716167,2022-01-09 15:50:00,50.0,,10.0
2022-01-26 18:00:00,2022-01-26 19:50:00,,,0.837608787674243,2022-01-26 18:10:00,110.0,,10.0
2022-01-27 13:30:00,2022-01-27 17:40:00,1.13300205689153,2022-01-27 13:40:00,1.13300205689153,2022-01-27 13:40:00,250.0,10.0,10.0
2022-02-03 17:00:00,2022-02-03 19:40:00,1.3038046794472,2022-02-03 17:40:00,1.3038046794472,2022-02-03 17:40:00,160.0,40.0,40.0
2022-02-04 17:40:00,2022-02-04 21:10:00,2.42153947762987,2022-02-04 18:00:00,2.42153947762987,2022-02-04 18:00:00,210.0,20.0,20.0
