fecha,global_peak,sil_0,sil_10,sil_20,sil_30,sil_40,sil_50,sil_60,sil_70,sil_80,sil_accumulated_0,sil_accumulated_10,sil_accumulated_20,sil_accumulated_30,sil_accumulated_40,sil_accumulated_50,sil_accumulated_60,sil_accumulated_70
2021-06-19 02:40:00,0.5053,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.2,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.4
2021-07-15 05:10:00,1.2547,2.2,1.8,0.6,0.6,3.0,4.6,4.6,0.8,0.0,18.2,16.0,14.2,13.6,13.0,10.0,5.4,0.8
2021-07-27 01:20:00,0.4406,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.4,0.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.8
2021-08-25 01:50:00,0.5228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-08 10:20:00,0.6944,0.4,1.0,0.2,0.2,0.8,0.6,1.0,0.6,0.6,5.4,5.0,4.0,3.8,3.6,2.8,2.2,1.2
2021-09-13 23:10:00,0.8382,0.0,1.4,0.2,0.0,0.0,0.0,0.2,6.0,0.4,8.2,8.2,6.8,6.6,6.6,6.6,6.6,6.4
2021-09-14 07:30:00,0.4048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-10-01 04:20:00,0.5424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2021-10-01 23:50:00,0.62,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.6,1.4,2.8,2.6,2.6,2.4,2.4,2.4,2.2,2.0
2021-10-02 11:50:00,0.4234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03 09:10:00,0.6181,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.0,0.4,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.4
2021-10-04 06:10:00,0.4102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-06 14:30:00,0.46,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,1.2,1.2,1.2,1.2,1.0,1.0,1.0,0.0
2021-10-09 08:30:00,0.8455,0.8,1.0,0.6,0.8,1.0,0.6,1.2,1.0,1.0,8.0,7.2,6.2,5.6,4.8,3.8,3.2,2.0
2021-10-13 20:40:00,2.2594,0.2,1.2,2.6,1.8,11.4,8.8,3.8,0.2,0.0,30.0,29.8,28.6,26.0,24.2,12.8,4.0,0.2
2021-10-15 04:50:00,1.1414,0.6,0.8,1.2,1.0,0.6,1.2,1.8,1.8,1.6,10.6,10.0,9.2,8.0,7.0,6.4,5.2,3.4
2021-10-23 15:00:00,1.1076,0.0,0.0,0.0,0.0,0.4,4.6,2.8,0.0,0.0,7.8,7.8,7.8,7.8,7.8,7.4,2.8,0.0
2021-11-05 21:40:00,0.9212,0.0,0.0,0.0,0.0,0.0,3.0,0.8,0.2,0.6,4.6,4.6,4.6,4.6,4.6,4.6,1.6,0.8
2021-11-10 12:00:00,0.3625,0.2,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.8,9.0,8.8,8.8,8.8,8.8,8.8,8.8,7.8
2021-11-14 14:00:00,1.1417,0.8,0.6,0.8,1.0,1.0,1.0,2.4,2.6,0.8,11.0,10.2,9.6,8.8,7.8,6.8,5.8,3.4
2021-11-16 17:10:00,0.8386,1.0,2.2,1.2,1.2,0.2,0.2,1.0,0.6,2.0,9.6,8.6,6.4,5.2,4.0,3.8,3.6,2.6
2021-11-17 00:30:00,0.8326,0.0,0.2,0.2,0.0,0.2,0.0,1.0,4.0,0.2,5.8,5.8,5.6,5.4,5.4,5.2,5.2,4.2
2021-11-17 16:20:00,0.4552,0.2,0.2,1.0,0.6,0.2,0.0,0.2,0.0,0.0,2.4,2.2,2.0,1.0,0.4,0.2,0.2,0.0
2021-11-18 06:30:00,0.6321,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1.2,0.8,3.0,3.0,3.0,3.0,3.0,3.0,2.6,2.0
2021-11-25 15:20:00,1.7471,0.0,6.6,4.2,1.0,9.0,6.0,3.2,0.4,3.0,33.4,33.4,26.8,22.6,21.6,12.6,6.6,3.4
2021-11-28 11:10:00,1.4385,0.0,0.2,1.8,3.2,3.6,11.2,0.2,0.0,0.0,20.2,20.2,20.0,18.2,15.0,11.4,0.2,0.0
2021-12-12 16:40:00,1.0311,0.0,0.0,0.0,0.0,0.2,0.0,2.2,1.0,0.0,3.4,3.4,3.4,3.4,3.4,3.2,3.2,1.0
2021-12-13 11:20:00,0.947,1.2,1.0,1.0,0.6,1.0,1.0,0.8,1.2,1.2,9.0,7.8,6.8,5.8,5.2,4.2,3.2,2.4
2021-12-30 16:30:00,1.5705,0.0,0.0,0.0,0.2,4.2,6.0,2.0,0.0,0.0,12.4,12.4,12.4,12.4,12.2,8.0,2.0,0.0
2022-01-03 05:40:00,1.023,0.0,0.0,0.0,0.0,0.4,1.2,1.0,0.6,0.0,3.2,3.2,3.2,3.2,3.2,2.8,1.6,0.6
2022-01-03 11:50:00,0.669,0.2,0.2,0.4,0.4,0.6,0.4,0.6,0.8,0.4,4.0,3.8,3.6,3.2,2.8,2.2,1.8,1.2
2022-01-09 15:50:00,0.3897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2022-01-26 18:10:00,0.8376,0.0,0.0,0.0,0.2,0.0,0.0,0.2,5.0,0.0,5.4,5.4,5.4,5.4,5.2,5.2,5.2,5.0
2022-01-27 13:40:00,1.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 17:40:00,1.3038,0.0,0.0,0.2,0.4,4.4,7.2,8.8,2.2,0.0,23.2,23.2,23.2,23.0,22.6,18.2,11.0,2.2
2022-02-04 18:00:00,2.4215,1.0,1.2,0.8,3.8,4.2,0.0,0.0,0.0,0.0,11.0,10.0,8.8,8.0,4.2,0.0,0.0,0.0
2022-02-05 02:00:00,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2022-02-21 16:00:00,1.18,0.0,0.0,0.0,0.4,4.8,2.2,1.2,1.4,1.2,11.2,11.2,11.2,11.2,10.8,6.0,3.8,2.6
2022-02-28 19:40:00,0.8941,0.4,0.6,0.2,0.6,0.2,0.0,0.6,1.2,1.4,5.2,4.8,4.2,4.0,3.4,3.2,3.2,2.6
2022-03-01 08:40:00,0.9242,0.2,0.2,0.2,0.0,0.0,1.2,3.4,4.8,2.6,12.6,12.4,12.2,12.0,12.0,12.0,10.8,7.4
2022-03-02 19:10:00,1.1733,0.0,0.0,0.0,0.4,1.0,0.6,0.2,0.0,0.0,2.2,2.2,2.2,2.2,1.8,0.8,0.2,0.0
2022-03-09 22:40:00,0.5225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2022-03-10 19:00:00,0.7175,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.8,5.8,7.6,7.6,7.6,7.6,7.2,7.2,6.8,6.6
2022-03-10 22:00:00,2.521,0.8,2.2,0.8,1.4,13.4,12.8,2.2,0.0,0.0,33.6,32.8,30.6,29.8,28.4,15.0,2.2,0.0
2022-03-11 03:50:00,1.2455,0.4,0.6,0.6,0.6,4.4,1.6,0.8,0.8,2.2,12.0,11.6,11.0,10.4,9.8,5.4,3.8,3.0
2022-03-11 12:00:00,0.3369,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.8,0.6,0.4,0.4,0.4,0.4,0.0,0.0
2022-03-11 14:00:00,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4
2022-03-18 17:50:00,1.505,0.0,0.4,2.0,2.6,5.0,4.6,1.2,0.0,0.0,15.8,15.8,15.4,13.4,10.8,5.8,1.2,0.0
2022-03-22 18:50:00,3.705,0.6,1.0,2.6,9.0,25.8,17.6,0.0,0.4,2.0,59.0,58.4,57.4,54.8,45.8,20.0,2.4,2.4
2022-03-23 10:00:00,3.746,1.2,4.6,8.8,11.6,15.2,7.2,5.4,0.0,0.4,54.4,53.2,48.6,39.8,28.2,13.0,5.8,0.4
2022-03-24 22:50:00,1.118,0.8,0.8,0.0,0.2,0.6,0.8,1.0,0.2,0.0,4.4,3.6,2.8,2.8,2.6,2.0,1.2,0.2
2022-03-30 08:10:00,2.402,0.6,3.8,2.0,8.4,9.6,5.0,2.6,0.0,0.0,32.0,31.4,27.6,25.6,17.2,7.6,2.6,0.0
2022-04-04 00:50:00,2.38,0.0,0.0,0.0,0.2,3.2,3.8,0.0,0.0,0.0,7.2,7.2,7.2,7.2,7.0,3.8,0.0,0.0
2022-04-05 09:40:00,1.647,0.0,0.0,0.4,1.6,4.0,7.8,1.2,0.6,0.4,16.0,16.0,16.0,15.6,14.0,10.0,2.2,1.0
2022-04-05 15:50:00,0.701,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,0.0,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.2
2022-04-11 18:20:00,3.101,0.0,0.0,0.4,11.6,16.4,9.2,1.2,0.8,3.0,42.6,42.6,42.6,42.2,30.6,14.2,5.0,3.8
2022-04-21 08:10:00,3.057,0.8,2.0,7.4,14.4,15.2,10.8,0.2,0.0,0.0,50.8,50.0,48.0,40.6,26.2,11.0,0.2,0.0
