inicio,fin,global,global_fecha,duracion_evento,duracion_global,global_peak,event,sil_0,sil_10,sil_20,sil_30,sil_40,sil_50,sil_accumulated_0,sil_accumulated_10,sil_accumulated_20,sil_accumulated_30,sil_accumulated_40,sil_accumulated_50
2021-06-19 02:30:00,2021-06-19 07:30:00,0.505279411815764,2021-06-19 02:40:00,300.0,10.0,0.5053,False,0.0,0.0,0.0,0.4,0.2,0.0,0.6,0.6,0.6,0.6,0.2,0.0
2021-07-15 02:50:00,2021-07-15 12:30:00,1.25466138228759,2021-07-15 05:10:00,580.0,140.0,1.2547,True,0.8,3.4,6.2,0.4,0.0,0.2,11.0,10.2,6.8,0.6,0.2,0.2
2021-07-27 01:10:00,2021-07-27 02:50:00,0.440619978594044,2021-07-27 01:20:00,100.0,10.0,0.4406,False,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2021-08-25 01:40:00,2021-08-25 03:10:00,0.522812995261997,2021-08-25 01:50:00,90.0,10.0,0.5228,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-08 10:00:00,2021-09-08 13:10:00,0.694438500488014,2021-09-08 10:20:00,190.0,20.0,0.6944,False,0.2,0.2,0.8,0.6,1.0,0.6,3.4,3.2,3.0,2.2,1.6,0.6
2021-09-13 22:10:00,2021-09-14 04:10:00,0.838218520589759,2021-09-13 23:10:00,360.0,60.0,0.8382,False,0.2,6.0,0.4,0.0,0.0,0.0,6.6,6.4,0.4,0.0,0.0,0.0
2021-09-14 06:20:00,2021-09-14 08:30:00,0.404827578508201,2021-09-14 07:30:00,130.0,70.0,0.4048,False,0.2,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0
2021-10-01 02:50:00,2021-10-01 05:40:00,0.542385983131139,2021-10-01 04:20:00,170.0,90.0,0.5424,False,1.4,0.6,0.4,0.0,0.0,1.2,3.6,2.2,1.6,1.2,1.2,1.2
2021-10-01 23:40:00,2021-10-02 01:30:00,0.620043555656963,2021-10-01 23:50:00,110.0,10.0,0.62,False,0.0,0.2,0.0,0.0,0.2,0.2,0.6,0.6,0.4,0.4,0.4,0.2
2021-10-02 11:30:00,2021-10-02 13:00:00,0.423437622234072,2021-10-02 11:50:00,90.0,20.0,0.4234,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03 09:00:00,2021-10-03 11:00:00,0.618087033520341,2021-10-03 09:10:00,120.0,10.0,0.6181,False,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.4,0.4,0.4,0.2,0.2
2021-10-04 06:00:00,2021-10-04 07:00:00,0.410229213744893,2021-10-04 06:10:00,60.0,10.0,0.4102,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-06 14:20:00,2021-10-06 15:30:00,0.459994241290667,2021-10-06 14:30:00,70.0,10.0,0.46,False,0.0,0.0,0.2,0.0,0.0,1.0,1.2,1.2,1.2,1.0,1.0,1.0
2021-10-09 07:10:00,2021-10-09 11:50:00,0.8454955720238,2021-10-09 08:30:00,280.0,80.0,0.8455,False,1.0,1.0,0.6,0.6,1.4,1.2,5.8,4.8,3.8,3.2,2.6,1.2
2021-10-13 20:10:00,2021-10-13 23:20:00,2.25942846355992,2021-10-13 20:40:00,190.0,30.0,2.2594,True,1.8,11.4,8.8,3.8,0.2,0.0,26.0,24.2,12.8,4.0,0.2,0.0
2021-10-15 04:10:00,2021-10-15 14:20:00,1.14138396650368,2021-10-15 04:50:00,610.0,40.0,1.1414,True,0.6,1.2,1.8,1.8,1.6,0.2,7.2,6.6,5.4,3.6,1.8,0.2
2021-10-23 14:50:00,2021-10-23 16:50:00,1.10764928807576,2021-10-23 15:00:00,120.0,10.0,1.1076,True,0.0,0.0,0.0,0.4,4.6,2.8,7.8,7.8,7.8,7.8,7.4,2.8
2021-11-05 21:30:00,2021-11-05 23:20:00,0.921242631531587,2021-11-05 21:40:00,110.0,10.0,0.9212,False,0.0,0.0,0.0,0.0,3.0,0.8,3.8,3.8,3.8,3.8,3.8,0.8
2021-11-10 11:10:00,2021-11-10 12:30:00,0.362500834190234,2021-11-10 12:00:00,80.0,50.0,0.3625,False,0.0,1.0,3.0,4.8,1.0,0.4,10.2,10.2,9.2,6.2,1.4,0.4
2021-11-14 13:40:00,2021-11-14 17:30:00,1.14166938572511,2021-11-14 14:00:00,230.0,20.0,1.1417,True,0.8,1.0,1.0,1.0,2.4,2.6,8.8,8.0,7.0,6.0,5.0,2.6
2021-11-16 17:00:00,2021-11-16 20:10:00,0.838593821667171,2021-11-16 17:10:00,190.0,10.0,0.8386,False,2.2,1.2,1.2,0.2,0.2,1.0,6.0,3.8,2.6,1.4,1.2,1.0
2021-11-17 00:20:00,2021-11-17 02:10:00,0.832581871475874,2021-11-17 00:30:00,110.0,10.0,0.8326,False,0.2,0.2,0.0,0.2,0.0,1.0,1.6,1.4,1.2,1.2,1.0,1.0
2021-11-17 15:10:00,2021-11-17 18:20:00,0.455235094411948,2021-11-17 16:20:00,190.0,70.0,0.4552,False,0.0,0.0,0.0,0.4,0.8,0.4,1.6,1.6,1.6,1.6,1.2,0.4
2021-11-18 06:20:00,2021-11-18 10:20:00,0.632123836143446,2021-11-18 06:30:00,240.0,10.0,0.6321,False,0.0,0.0,0.0,0.0,0.4,0.6,1.0,1.0,1.0,1.0,1.0,0.6
2021-11-25 13:50:00,2021-11-25 19:40:00,1.74706324564426,2021-11-25 15:20:00,350.0,90.0,1.7471,True,0.4,5.0,9.4,0.2,0.0,0.0,15.0,14.6,9.6,0.2,0.0,0.0
2021-11-28 10:40:00,2021-11-28 13:30:00,1.4384842691112,2021-11-28 11:10:00,170.0,30.0,1.4385,True,3.2,3.6,11.2,0.2,0.0,0.0,18.2,15.0,11.4,0.2,0.0,0.0
2021-12-12 16:30:00,2021-12-12 18:20:00,1.03111498852642,2021-12-12 16:40:00,110.0,10.0,1.0311,True,0.0,0.0,0.0,0.2,0.0,2.2,2.4,2.4,2.4,2.4,2.2,2.2
2021-12-13 07:30:00,2021-12-13 14:40:00,0.947028785621707,2021-12-13 11:20:00,430.0,230.0,0.947,False,0.4,0.6,0.4,0.6,0.8,0.4,3.2,2.8,2.2,1.8,1.2,0.4
2021-12-30 16:00:00,2021-12-30 18:30:00,1.57054877338045,2021-12-30 16:30:00,150.0,30.0,1.5705,True,0.2,4.2,6.0,2.0,0.0,0.0,12.4,12.2,8.0,2.0,0.0,0.0
2022-01-03 05:30:00,2022-01-03 07:20:00,1.02300754124737,2022-01-03 05:40:00,110.0,10.0,1.023,True,0.0,0.0,0.0,0.4,1.2,1.0,2.6,2.6,2.6,2.6,2.2,1.0
2022-01-03 09:50:00,2022-01-03 14:00:00,0.668959795381788,2022-01-03 11:50:00,250.0,120.0,0.669,False,2.6,0.2,0.0,0.2,0.8,2.8,6.6,4.0,3.8,3.8,3.6,2.8
2022-01-09 15:40:00,2022-01-09 16:30:00,0.389655556716167,2022-01-09 15:50:00,50.0,10.0,0.3897,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-26 18:00:00,2022-01-26 19:50:00,0.837608787674243,2022-01-26 18:10:00,110.0,10.0,0.8376,False,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.4,0.4,0.2,0.2,0.2
2022-01-27 13:30:00,2022-01-27 17:40:00,1.13300205689153,2022-01-27 13:40:00,250.0,10.0,1.133,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 17:00:00,2022-02-03 19:40:00,1.3038046794472,2022-02-03 17:40:00,160.0,40.0,1.3038,True,4.4,7.2,8.8,2.2,0.0,0.0,22.6,18.2,11.0,2.2,0.0,0.0
2022-02-04 17:40:00,2022-02-04 21:10:00,2.42153947762987,2022-02-04 18:00:00,210.0,20.0,2.4215,True,0.8,3.8,4.2,0.0,0.0,0.0,8.8,8.0,4.2,0.0,0.0,0.0
2022-02-05 00:10:00,2022-02-05 02:40:00,0.357046397609711,2022-02-05 02:00:00,150.0,110.0,0.357,False,0.6,0.4,0.4,0.2,0.2,0.0,1.8,1.2,0.8,0.4,0.2,0.0
2022-02-21 14:50:00,2022-02-21 18:10:00,1.17999934653347,2022-02-21 16:00:00,200.0,70.0,1.18,True,1.4,1.2,0.2,2.0,0.8,0.8,6.4,5.0,3.8,3.6,1.6,0.8
2022-02-28 17:10:00,2022-03-01 00:20:00,0.894070140782118,2022-02-28 19:40:00,430.0,150.0,0.8941,False,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2022-03-01 07:40:00,2022-03-01 10:50:00,0.924176098500514,2022-03-01 08:40:00,190.0,60.0,0.9242,False,3.4,4.8,2.6,0.2,0.2,0.2,11.4,8.0,3.2,0.6,0.4,0.2
2022-03-02 19:00:00,2022-03-02 21:10:00,1.17332180107862,2022-03-02 19:10:00,130.0,10.0,1.1733,True,0.0,0.0,0.4,1.0,0.6,0.2,2.2,2.2,2.2,1.8,0.8,0.2
2022-03-09 22:30:00,2022-03-09 23:40:00,0.52249489111052,2022-03-09 22:40:00,70.0,10.0,0.5225,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10 18:40:00,2022-03-10 20:50:00,0.717450715358396,2022-03-10 19:00:00,130.0,20.0,0.7175,False,0.0,0.4,0.0,0.4,0.2,0.8,1.8,1.8,1.4,1.4,1.0,0.8
2022-03-10 21:20:00,2022-03-11 01:40:00,2.52096045987647,2022-03-10 22:00:00,260.0,40.0,2.521,True,13.4,12.8,2.2,0.0,0.0,0.0,28.4,15.0,2.2,0.0,0.0,0.0
2022-03-11 02:30:00,2022-03-11 07:10:00,1.24550802554861,2022-03-11 03:50:00,280.0,80.0,1.2455,True,2.2,2.2,4.0,0.0,0.6,1.2,10.2,8.0,5.8,1.8,1.8,1.2
2022-03-11 11:40:00,2022-03-11 12:30:00,0.33692058152608,2022-03-11 12:00:00,50.0,20.0,0.3369,False,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0
2022-03-11 13:50:00,2022-03-11 14:40:00,0.34903910887731,2022-03-11 14:00:00,50.0,10.0,0.349,False,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2022-03-18 17:20:00,2022-03-18 20:00:00,1.505,2022-03-18 17:50:00,160.0,30.0,1.505,True,2.6,5.0,4.6,1.2,0.0,0.0,13.4,10.8,5.8,1.2,0.0,0.0
2022-03-22 18:10:00,2022-03-22 23:20:00,3.705,2022-03-22 18:50:00,310.0,40.0,3.705,True,25.8,17.6,0.0,0.4,2.0,0.2,46.0,20.2,2.6,2.6,2.2,0.2
2022-03-23 07:00:00,2022-03-23 15:30:00,3.746,2022-03-23 10:00:00,510.0,180.0,3.746,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
