duracion_global,count,global_fechas
10.0,21,"['2021-06-19 02:40:00', '2021-07-27 01:20:00', '2021-08-25 01:50:00', '2021-10-01 23:50:00', '2021-10-03 09:10:00', '2021-10-04 06:10:00', '2021-10-06 14:30:00', '2021-10-23 15:00:00', '2021-11-05 21:40:00', '2021-11-16 17:10:00', '2021-11-17 00:30:00', '2021-11-18 06:30:00', '2021-12-12 16:40:00', '2022-01-03 05:40:00', '2022-01-09 15:50:00', '2022-01-26 18:10:00', '2022-01-27 13:40:00', '2022-03-02 19:10:00', '2022-03-09 22:40:00', '2022-03-11 14:00:00', '2022-04-05 15:50:00']"
20.0,7,"['2021-09-08 10:20:00', '2021-10-02 11:50:00', '2021-11-14 14:00:00', '2022-02-04 18:00:00', '2022-03-10 19:00:00', '2022-03-11 12:00:00', '2022-04-04 00:50:00']"
30.0,7,"['2021-10-13 20:40:00', '2021-11-28 11:10:00', '2021-12-30 16:30:00', '2022-03-18 17:50:00', '2022-03-30 08:10:00', '2022-04-21 08:10:00', '2022-04-28 14:50:00']"
40.0,4,"['2021-10-15 04:50:00', '2022-02-03 17:40:00', '2022-03-10 22:00:00', '2022-03-22 18:50:00']"
50.0,1,['2021-11-10 12:00:00']
60.0,3,"['2021-09-13 23:10:00', '2022-03-01 08:40:00', '2022-04-05 09:40:00']"
70.0,3,"['2021-09-14 07:30:00', '2021-11-17 16:20:00', '2022-02-21 16:00:00']"
80.0,3,"['2021-10-09 08:30:00', '2022-03-11 03:50:00', '2022-03-24 22:50:00']"
90.0,2,"['2021-10-01 04:20:00', '2021-11-25 15:20:00']"
110.0,1,['2022-02-05 02:00:00']
120.0,1,['2022-01-03 11:50:00']
130.0,1,['2022-04-11 18:20:00']
140.0,1,['2021-07-15 05:10:00']
150.0,1,['2022-02-28 19:40:00']
180.0,1,['2022-03-23 10:00:00']
230.0,1,['2021-12-13 11:20:00']
